Slice,Count,Total Area,Average Size,%Area,Mean
tumour pic day 6 p4_1.tif,2,41,20.500,2.562,255
tumour pic day 6 p4_2.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p4_3.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p4_4.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p4_5.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p4_6.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p4_7.tif,2,10,5.000,0.625,255
tumour pic day 6 p4_8.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p4_9.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p4_10.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p4_11.tif,0,0,NaN,0.000,NaN
tumour pic day 6 p4_12.tif,0,0,NaN,0.000,NaN
